10248,"Dairy Products,Grains/Cereals",1996-07-04
10249,Produce,1996-07-05
10250,"Condiments,Produce,Seafood",1996-07-08
10251,"Condiments,Grains/Cereals",1996-07-08
10252,"Confections,Dairy Products",1996-07-09
10253,"Beverages,Confections,Dairy Products",1996-07-10
10254,"Beverages,Meat/Poultry,Produce",1996-07-11
10255,"Beverages,Confections,Dairy Products,Seafood",1996-07-12
10256,"Condiments,Meat/Poultry",1996-07-15
10257,"Beverages,Condiments,Confections",1996-07-16
10258,"Beverages,Condiments,Dairy Products",1996-07-17
10259,"Confections,Seafood",1996-07-18
10260,"Beverages,Confections,Grains/Cereals,Seafood",1996-07-19
10261,"Beverages,Confections",1996-07-19
10262,"Condiments,Grains/Cereals,Produce",1996-07-22
10263,"Beverages,Confections,Produce,Seafood",1996-07-23
10264,"Beverages,Seafood",1996-07-24
10265,"Beverages,Meat/Poultry",1996-07-25
10266,"Dairy Products",1996-07-26
10267,"Beverages,Dairy Products,Seafood",1996-07-29
10268,"Dairy Products,Meat/Poultry",1996-07-30
10269,"Dairy Products",1996-07-31
10270,"Beverages,Seafood",1996-08-01
10271,"Dairy Products",1996-08-01
10272,"Confections,Dairy Products",1996-08-02
10273,"Beverages,Dairy Products,Seafood",1996-08-05
10274,"Dairy Products",1996-08-06
10275,"Beverages,Dairy Products",1996-08-07
10276,Seafood,1996-08-08
10277,"Confections,Produce",1996-08-09
10278,"Condiments,Dairy Products,Seafood",1996-08-12
10279,Meat/Poultry,1996-08-13
10280,"Beverages,Meat/Poultry",1996-08-14
10281,"Beverages,Confections",1996-08-14
10282,"Grains/Cereals,Seafood",1996-08-15
10283,"Condiments,Confections,Dairy Products",1996-08-16
10284,"Beverages,Condiments,Confections,Dairy Products",1996-08-19
10285,"Beverages,Meat/Poultry,Seafood",1996-08-20
10286,"Beverages,Confections",1996-08-21
10287,"Beverages,Confections,Seafood",1996-08-22
10288,"Confections,Meat/Poultry",1996-08-23
10289,"Condiments,Grains/Cereals",1996-08-26
10290,"Condiments,Confections,Meat/Poultry",1996-08-27
10291,"Condiments,Produce,Seafood",1996-08-27
10292,Confections,1996-08-28
10293,"Beverages,Condiments,Seafood",1996-08-29
10294,"Beverages,Dairy Products,Meat/Poultry",1996-08-30
10295,Grains/Cereals,1996-09-02
10296,"Confections,Dairy Products",1996-09-03
10297,"Beverages,Dairy Products",1996-09-04
10298,"Beverages,Confections,Dairy Products,Seafood",1996-09-05
10299,"Beverages,Confections",1996-09-06
10300,"Condiments,Confections",1996-09-09
10301,"Grains/Cereals,Seafood",1996-09-09
10302,"Beverages,Meat/Poultry,Produce",1996-09-10
10303,"Condiments,Confections,Seafood",1996-09-11
10304,"Confections,Dairy Products",1996-09-12
10305,"Beverages,Meat/Poultry,Seafood",1996-09-13
10306,"Meat/Poultry,Seafood",1996-09-16
10307,Confections,1996-09-17
10308,"Beverages,Dairy Products",1996-09-18
10309,"Beverages,Condiments,Dairy Products,Grains/Cereals",1996-09-19
10310,Confections,1996-09-20
10311,"Dairy Products,Grains/Cereals",1996-09-20
10312,"Beverages,Meat/Poultry,Produce",1996-09-23
10313,Seafood,1996-09-24
10314,"Confections,Dairy Products,Seafood",1996-09-25
10315,Beverages,1996-09-26
10316,"Confections,Seafood",1996-09-27
10317,Beverages,1996-09-30
