tweet,sentimen
Saya juga mau vouchee @gojekindonesia  https://twitter.com/FOODFESS2/status/1168007370867232769 …,1
download gojek duluuu uwuwu,1
"Aminnn...#orderan goride mhn di lancar kan.all driver""kecuali yg pakai mod tuyul""",1
"Tq @gojekindonesia @golifeindonesia 🖤. Harusnya si bapak ini ⭐ 5.0.

Khusus daerah Bandung, kalau mau therapist bisa hubungin ke nomor yang ada di kartu. pic.twitter.com/5JMNmnmnHQ",1
"Semoga Twitter panjang umur. Berkomunikasi dengan penyedia jasa di Indonesia, never been this easy. I just mentioned once, langsung ditanggapi. @HaloBCA and @gojekindonesia @danawallet @BNICustomerCare fast response di Twitter. long live Twitter!",1
"Semoga di tahun yang baru ini, kita senantiasa ditunjukkan jalan yang lurus, jalan yang terbaik & jalan yang menuntun kita semua ke pintu surga.

Selamat Tahun Baru Islam 1 Muharam 1441 H.

#IslamicNewYear #TahunBaruIslam #Muharram1441 #PastiAdaJalan pic.twitter.com/QpAbdmYZim",1
Sejauh ini menurut saya UI paling nyaman dari app asli Indonesia itu punyanya @gojekindonesia .,1
Thank you @gojekindonesia  pic.twitter.com/pbZBG8lkF7,1
"Hai, ada yang bisa kami bantu mengenai layanan Gojek? Terima kasih ^yun",1
"Full Week Feeling Great With You Guys @gojekindonesia @grabtaxiid Terima Kasih😁🙏🎹
.
TERIMA KASIH GOJEK N GRAB Driver For This Week 😊🤗🙏
Semoga Anda Sekalian dipenuhi Berkah yang Mau mengirim dengan Tulus , menghalau…  https://www.instagram.com/p/B12haXtlhCY/?igshid=1b3yeamv6mqm8 …",1
"Happy Sunday everyone ❤❤
Minggu santai menjelang makan siang yuk lah di order GoFood powered by @gojekindonesia
Available ikan bakar/goreng Nila,Mas,Mujaer,Bawal dan Lele 🍽🍽😋😋
"" Ikan Bakar 86 Biduri Bulan "" 
 https://gofood.link/u/rVY30 ",1
"You can donate via @gojekindonesia application to help those in need using BTS JUNGKOOK name @BTS_twt
@OneInAnARMY pic.twitter.com/L5pkLL2yqs",1
"Jogja terasa sangat indah pagi ini dengan MOTORANWAEOVO. Thankyou again, saingan nya  @gojekindonesia",1
"Satu kesuksesan pelatih adalah di saat pemain sudah bermain maksimal. Di kepelatihan itu sendiri bukan kalah menangnya.
Tetapi bagaimana pemain bermain semaksimal mungkin mengeluarkan kemampuannya untuk memenangkan pertandingan. Thx @gojekindonesia
#pastiadajalan #SeptemberCeria",1
"Engga sih, soalnya gua udah instal aplikasi @gojekindonesia dan @GrabID",1
"Tgl 28 kemaren baru d tf bpk 200rb, sekarang udah abis aja sisa 20rb d kantong, 16rb d gopay, mau gk mau harus hemat beberapa hari kedepan, untung ada promo potongan harga gofood @gojekindonesia sangat bersyukur sekali. 😁  pic.twitter.com/F5Ydj7KLVp",1
Pasti selalu Ada jalannya tenang aja ye gak @gojekindonesia ?,1
wkwkwk fakta 5 thn terakhir,1
"Ucapan ""Selamat Pagi"" dari abang gocar pun bisa bikin meleleh :v
@gojekindonesia",1
"dear @gojekindonesia ada ide baru nih buat ngatasin macet, biar penumpang sampai ketujuan dengan cepat 😂  https://twitter.com/techinsider/status/1167925530819268608 …",1
"Laper...
Ada yg mau beli'in? @gojekindonesia @GrabID",1
Yaaa jam-jam krucuk. Makasiiiii mamang gojek! @gojekindonesia  pic.twitter.com/gcJIJHYP9z,1
"Bad marketing is a good marketing. Selamat, anda semua sudah terjaring oleh marketingnya @gojekindonesia 👏",1
"Hai, perihal tersebut kami sarankan Anda untuk melakukan perubahan nomor telepon pada akun Gojek Anda agar dapat login kembali. Untuk lebih lanjut silakan mengirimkan email beserta data Anda ke customerservice@go-jek.com...(1)",1
Kalo mau Deket sekarang kan ada @gojekindonesia jadi apa aja bisa murah,1
Totalitas banget sampe tasnya masih dipake di depan.,1
dibulan september ini semoga @gojekindonesia dan @GrabID sparing promo ya,1
Yang 24jam cuma @gojekindonesia bude  https://twitter.com/BudeSumiyati/status/1167842916611448832 …,1
Oke kakmin. Cus dm ya,1
"Harapan ku esok hari, semoga gacor seperti tadi. @gojekindonesia heheu.",1
"@gojekindonesia min gojek adain promo diskon dong buat gofoodnya jangan mau kalah sama tetangga sebelah, pengguna setia gojek nih :( 
#PastiAdaJalan",1
Kebiasaan pake gopay. Sekalinya gnti metode cash auto lupa. HELP @gojekindonesia 😭,1
indah dong yaa @gojekindonesia wkwkwkwkkwheheheheh,1
"Jaman sekarang kebutuhan apapun bisa sampe dirumah dalam waktu instan
Tinggal nunggu @GrabID atau @gojekindonesia bawa tukang cukur rambut kerumah aja nih",1
"Malam mingguan dirumah aja sama @dimasjumanji . Order @GrabID grab food susu shijack. Order @gojekindonesia  Gofood nasi goreng. Terus nonton ini. Perfect bikin jantungan sampe sekarang, nyesel kenapa baru ntn sekarang 😅  https://twitter.com/ParasiteMovie/status/1161653708410822656 …",1
"Okee, siap",1
Thanks @gojekindonesia  https://twitter.com/sandiuno/status/1167810317184684033 …,1
"Hai kak, kami senang dapat membantu kakak. Semoga PayLater bermanfaat dan menjadi pilihan untuk pembayaran pada saat melakukan pemesanan ya. Tks^rno",1
Pake @gojekindonesia aja mbak,1
"Pardon me for being too excited karna baru tau ternyata-ternyatanya si Nadiem Makarim ini. Just go ahead, you have our back! @gojekindonesia",1
"Akhir-akhir ini saya punya hobi menanyai driver @gojekindonesia soal jumlah order, hitung-hitungan performa, tempat nongkrong favorit, pengalaman di-prank, dan hal-hal menarik lainnya...",1
"makasih @gojekindonesia duit jajan saya ditambahi

love gojek ✨ hwehehehe  pic.twitter.com/7i7VXJQ9zg",1
"Sungguh @gojekindonesia menjawab masalah paling krusial umat manusia: mager.

Tukang martabak 300 meter, tapi karena sudah malem, mager, lelah nanjak dan tidak ingin melawan hawa dingin, akhirnya pilih menitipkan amanat untuk membeli ke layanan go-food :)",1
Aamiin,1
:))),1
"Katanya sih 1% saham. Semoga bisa naik ya jadi 1,5% atau 2%",1
"Bertamu ke rumah mas Syafri, Vice President Data Science @gojekindonesia
#syafribahar #datascience #gojekindonesia  https://www.instagram.com/p/B11MQVsHUjE/?igshid=14dwg9oorlmtg …",1
"Kan di @gojekindonesia ada pilihan ""Pay later"" jadi tanggal tua ga masalah dong. Ayo buruan download dan lakukan misinya biar dapat voucher go food.",1
Hari gini bnyak promo go food dari @gojekindonesia masih makan indomie??,1
Naik gocar aja yuk trs kita ptpt ongkosnya,1
Yaudah aku dah dapet driver. Ganteng pula. Dapat promo pula. Ya nggak? @GrabID pic.twitter.com/TIFs41I8Zo,1
Harusnya gausah bingung. Ada abang @gojekindonesia sama @GrabID yang bisa beliin 🤣🤣🤣🤣🤣🤣,1
@gojekindonesia sy punya warung kelontong ingin daftar jd rekanan gojek. Apakah ada biaya bulanannya?,1
Gils. Untung gw make @gojekindonesia,1
Isi gopay eh dapet cashback pula mantapp nih @gojekindonesia,1
tapi walaupun begitu boo mau terima kasih dgn @gojekindonesia karena sudah pernah mempertemukan boo dgn jodohnya.. #salamsatuaspal,1
Halo @gojekindonesia @GrabID,1
"Dapet abang ojol baiik banget, semoga rejekinya lancar ya mas :) @gojekindonesia  pic.twitter.com/fjhOinC5YK",1
"Mantap jiwa

 http://www.transonlinewatch.com/uji-pakai-motor-listrik-kemenperin-gandeng-ojol/amp/ …",1
Mantul min http://www.transonlinewatch.com/kontribusi-mitra-gojek-bagi-perekonomian-kota-balikpapan-capai-rp-423-m/ …,1
"Ayam saus mayonaisse , porsi besar bisa buat ber 2 😊 @FoodRevJakarta @jakarta_food @FoodNetwork @Jakarta_Kuliner @kulinerjakarta @gojekindonesia @gofoodindonesia @jakartafoodinfo @Giladiskon @gopayindonesia pic.twitter.com/dBvZBVUXqQ",1
"Customer Servicenya perusahaan Ojol itu suaranya empuk2 yaa kaya geprek Bensu. @gojekindonesia
@gojek24jam http://www.transonlinewatch.com/memaknai-customer-service-orientation-dari-profesi-ojek-online/ …",1
"Just for mehh, 
Seharian dikamar mo makan gofood mo makan gofood. Sekarang pun gofood. Kurang purrrfect ga ada kucing :(((

Thank u @gojekindonesia promopromo nya  pic.twitter.com/7KuGfbylhQ",1
